iter	Passed	Remaining
0	2	203
1	3	189
2	5	168
3	6	166
4	8	165
5	10	162
6	11	158
7	13	151
8	14	145
9	16	144
10	17	142
11	19	140
12	20	138
13	21	134
14	23	130
15	24	129
16	26	127
17	27	126
18	29	127
19	31	124
20	32	121
21	34	120
22	35	119
23	37	117
24	38	115
25	39	113
26	41	111
27	42	109
28	44	107
29	45	107
30	47	105
31	48	103
32	50	102
33	52	101
34	53	100
35	55	98
36	56	95
37	58	94
38	60	93
39	61	92
40	63	90
41	64	89
42	65	87
43	66	84
44	68	83
45	69	82
46	71	80
47	73	79
48	74	77
49	75	75
50	77	74
51	78	72
52	80	71
53	81	69
54	82	67
55	83	65
56	85	64
57	86	62
58	87	61
59	89	59
60	90	58
61	91	56
62	93	54
63	94	53
64	95	51
65	97	50
66	98	48
67	99	46
68	101	45
69	102	43
70	103	42
71	105	40
72	106	39
73	107	37
74	108	36
75	110	34
76	111	33
77	112	31
78	113	30
79	115	28
80	116	27
81	117	25
82	119	24
83	120	22
84	121	21
85	123	20
86	124	18
87	125	17
88	127	15
89	128	14
90	129	12
91	131	11
92	133	10
93	134	8
94	135	7
95	137	5
96	138	4
97	140	2
98	141	1
99	142	0
